base,base_is_boundary,base_community,optionA_dest,optionA_plausible,optionA_steps,optionA_within_code,optionA_same_community,optionA_dest_is_boundary,optionA_tag,optionA_tag_wx,optionB_dest,optionB_plausible,optionB_steps,optionB_within_code,optionB_same_community,optionB_dest_is_boundary,optionB_tag,optionB_tag_wx,comparison_type,comparison_pair_tag,comparison_pair_tag_wx
E,True,1,A,False,2.0,X,False,False,IB2,IB2X,F,True,1.0,W,True,False,PB1,PB1W,T1,IB2__PB1,IB2X__PB1W
E,True,1,A,False,2.0,X,False,False,IB2,IB2X,G,False,2.0,W,True,True,IB2,IB2W,T0,IB2__IB2,IB2W__IB2X
E,True,1,A,False,2.0,X,False,False,IB2,IB2X,H,True,1.0,W,True,False,PB1,PB1W,T1,IB2__PB1,IB2X__PB1W
E,True,1,B,True,1.0,X,False,True,PB1,PB1X,C,False,2.0,X,False,False,IB2,IB2X,T1,IB2__PB1,IB2X__PB1X
E,True,1,B,True,1.0,X,False,True,PB1,PB1X,D,False,3.0,X,False,True,IB3,IB3X,T1,IB3__PB1,IB3X__PB1X
E,True,1,B,True,1.0,X,False,True,PB1,PB1X,F,True,1.0,W,True,False,PB1,PB1W,T2,PB1__PB1,PB1W__PB1X
E,True,1,B,True,1.0,X,False,True,PB1,PB1X,G,False,2.0,W,True,True,IB2,IB2W,T1,IB2__PB1,IB2W__PB1X
E,True,1,B,True,1.0,X,False,True,PB1,PB1X,H,True,1.0,W,True,False,PB1,PB1W,T2,PB1__PB1,PB1W__PB1X
E,True,1,C,False,2.0,X,False,False,IB2,IB2X,D,False,3.0,X,False,True,IB3,IB3X,T0,IB2__IB3,IB2X__IB3X
E,True,1,C,False,2.0,X,False,False,IB2,IB2X,F,True,1.0,W,True,False,PB1,PB1W,T1,IB2__PB1,IB2X__PB1W
E,True,1,C,False,2.0,X,False,False,IB2,IB2X,G,False,2.0,W,True,True,IB2,IB2W,T0,IB2__IB2,IB2W__IB2X
E,True,1,C,False,2.0,X,False,False,IB2,IB2X,H,True,1.0,W,True,False,PB1,PB1W,T1,IB2__PB1,IB2X__PB1W
E,True,1,D,False,3.0,X,False,True,IB3,IB3X,F,True,1.0,W,True,False,PB1,PB1W,T1,IB3__PB1,IB3X__PB1W
E,True,1,D,False,3.0,X,False,True,IB3,IB3X,G,False,2.0,W,True,True,IB2,IB2W,T0,IB2__IB3,IB2W__IB3X
E,True,1,D,False,3.0,X,False,True,IB3,IB3X,H,True,1.0,W,True,False,PB1,PB1W,T1,IB3__PB1,IB3X__PB1W
E,True,1,F,True,1.0,W,True,False,PB1,PB1W,G,False,2.0,W,True,True,IB2,IB2W,T1,IB2__PB1,IB2W__PB1W
E,True,1,F,True,1.0,W,True,False,PB1,PB1W,H,True,1.0,W,True,False,PB1,PB1W,T2,PB1__PB1,PB1W__PB1W
E,True,1,G,False,2.0,W,True,True,IB2,IB2W,H,True,1.0,W,True,False,PB1,PB1W,T1,IB2__PB1,IB2W__PB1W
F,False,1,A,False,3.0,X,False,False,INB3,INB3X,B,False,2.0,X,False,True,INB2,INB2X,T0,INB2__INB3,INB2X__INB3X
F,False,1,A,False,3.0,X,False,False,INB3,INB3X,C,False,3.0,X,False,False,INB3,INB3X,T0,INB3__INB3,INB3X__INB3X
F,False,1,A,False,3.0,X,False,False,INB3,INB3X,D,False,2.0,X,False,True,INB2,INB2X,T0,INB2__INB3,INB2X__INB3X
F,False,1,A,False,3.0,X,False,False,INB3,INB3X,E,True,1.0,W,True,True,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
F,False,1,A,False,3.0,X,False,False,INB3,INB3X,G,True,1.0,W,True,True,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
F,False,1,A,False,3.0,X,False,False,INB3,INB3X,H,True,1.0,W,True,False,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
F,False,1,B,False,2.0,X,False,True,INB2,INB2X,C,False,3.0,X,False,False,INB3,INB3X,T0,INB2__INB3,INB2X__INB3X
F,False,1,B,False,2.0,X,False,True,INB2,INB2X,D,False,2.0,X,False,True,INB2,INB2X,T0,INB2__INB2,INB2X__INB2X
F,False,1,B,False,2.0,X,False,True,INB2,INB2X,E,True,1.0,W,True,True,PNB1,PNB1W,T1,INB2__PNB1,INB2X__PNB1W
F,False,1,B,False,2.0,X,False,True,INB2,INB2X,G,True,1.0,W,True,True,PNB1,PNB1W,T1,INB2__PNB1,INB2X__PNB1W
F,False,1,B,False,2.0,X,False,True,INB2,INB2X,H,True,1.0,W,True,False,PNB1,PNB1W,T1,INB2__PNB1,INB2X__PNB1W
F,False,1,C,False,3.0,X,False,False,INB3,INB3X,D,False,2.0,X,False,True,INB2,INB2X,T0,INB2__INB3,INB2X__INB3X
F,False,1,C,False,3.0,X,False,False,INB3,INB3X,E,True,1.0,W,True,True,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
F,False,1,C,False,3.0,X,False,False,INB3,INB3X,G,True,1.0,W,True,True,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
